R7,1月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
1,日替定食,✕,23,24,24,26,,,,22,30,✕,✕,,,,,
2,日替丼,21,✕,✕,✕,✕,,,,✕,✕,✕,✕,,,,,
4,カレー,5,0,0,3,6,,,,1,4,3,0,,,,,
5,カツカレー,✕,7,1,✕,0,,,,6,✕,0,0,,,,,
6,ハヤシライス,✕,✕,0,✕,0,,,,✕,✕,0,0,,,,,
8,やきめし,✕,✕,0,✕,5,,,,✕,✕,0,0,,,,,
9,醤油ラーメン,0,3,1,2,2,,,,1,1,6,2,,,,,
10,醤油ラーメン（大盛）,5,3,3,4,5,,,,3,2,3,1,,,,,
11,豚骨ラーメン,0,1,0,1,2,,,,0,0,5,0,,,,,
12,豚骨ラーメン（大盛）,0,1,1,5,3,,,,1,4,7,2,,,,,
13,チャーシュー醤油,0,0,1,0,0,,,,0,0,0,0,,,,,
14,チャーシュー豚骨,0,0,0,1,0,,,,1,0,0,1,,,,,
15,ラーメンセットミニ炒飯醤油,0,0,0,0,5,,,,0,0,0,0,,,,,
16,ラーメンセットミニ炒飯豚骨,0,0,0,0,6,,,,0,0,0,0,,,,,
17,かけうどん,2,2,4,2,2,,,,2,1,3,4,,,,,
18,天ぷらうどん,1,0,0,1,1,,,,2,3,0,0,,,,,
19,カレーうどん,0,2,0,2,1,,,,1,1,0,1,,,,,
20,肉うどん,2,12,8,5,9,,,,5,5,15,12,,,,,
21,うどんセット,1,8,3,4,3,,,,1,1,8,2,,,,,
23,ラーメンセットミニカレー醤油,1,4,5,4,2,,,,2,1,4,4,,,,,
24,ラーメンセットミニカレー豚骨,2,8,1,8,4,,,,3,4,2,9,,,,,
25,かけそば,0,0,0,0,3,,,,0,0,0,2,,,,,
26,天ぷらそば,0,0,0,1,1,,,,0,0,0,0,,,,,
27,カレーそば,0,0,0,0,0,,,,0,0,0,0,,,,,
28,肉そば,2,0,1,1,0,,,,0,0,0,0,,,,,
29,そばセット,0,0,0,2,1,,,,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,42,74,53,70,87,0,0,0,51,57,56,40,0,0,0,0,
,,,,,,,,,,,,,,,,,,
R7,3月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,
1,日替定食,,,✕,✕,,20,25,,,✕,27,24,23,,,,
2,日替丼,,,✕,✕,,✕,✕,,,20,✕,✕,✕,,,,
4,カレー,,,6,2,,1,2,,,1,0,2,2,,,,
5,カツカレー,,,0,13,,0,0,,,✕,13,✕,0,,,,
6,ハヤシライス,,,0,0,,0,0,,,✕,✕,✕,0,,,,
8,やきめし,,,0,0,,0,4,,,✕,✕,✕,7,,,,
9,醤油ラーメン,,,5,3,,3,1,,,3,2,2,2,,,,
10,醤油ラーメン（大盛）,,,5,5,,2,2,,,1,4,7,0,,,,
